domain_title,t,td,tavg,tx,tn,rh,rhavg,dd_val,ddavg_val,ddmax_val,ff_val,ffavg_val,ffmax_val,msl,mslavg,p,pavg,rr_val,snow,tp_1h_acc,tp_12h_acc,tp_24h_acc,tw,gSunRad,gSunRadavg,diffSunRad,diffSunRadavg,vis_val,t_5_cm,tavg_5_cm,tg_5_cm,tgavg_5_cm,tg_10_cm,tgavg_10_cm,tg_20_cm,tgavg_20_cm,tg_30_cm,tgavg_30_cm,tg_50_cm,tgavg_50_cm,hhs1_val,ns1_val,hhs2_val,ns2_val,hhs3_val,ns3_val,hhs4_val,ns4_val,rrHh,valid_UTC
OSILNICA,20.8,13.7,20.6,,,64,64,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
OTLICA,19.9,10.9,20,,,56,55,212,212,208,1.74,1.74,2.85,,,,,0,,,0,,,579,575,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
SKOCJAN,23.9,14.9,23.3,23.9,22.6,57,61,98,103,90,0.9,1.1,2.7,1022.1,1022.2,974.4,974.4,0,,0,0,,,583,570,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:00 UTC
PASJA RAVAN,20.2,13.2,20.2,,,64,65,215,215,204,1.19,1.19,3.15,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
PAVLICEVO SEDLO,17.5,3.8,17.2,,,40,46,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
PIRAN-OCEAN. BOJA,21.9,16.8,21.8,22,21.7,73,73,254,268,252,1.9,1.6,2.4,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:00 UTC
PLANINA POD GOLICO,19.1,11.2,18.9,,,60,61,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
PODCETRTEK - ATOMSKE TOPLICE,19.1,14.6,18.3,19.2,17.5,75,79,146,214,258,0.7,1,2.1,1023.2,1023.2,999.5,999.5,0,,0,0,,,553,538,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:00 UTC
PODNANOS,24.4,16.1,24.2,,,60,61,333,333,343,1.17,1.17,2.06,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
POSTOJNA,21.4,13.8,21.3,,,62,61,6,6,15,0.85,0.85,1.5,1022.1,1022.1,961,961,0,0,,0,,,598,594,96,92,48,23.7,23.4,16.6,16.5,15.4,15.4,15.6,15.6,16.1,16.1,16.5,16.5,,0,,0,,0,,0,11.10.2023 10:10 UTC
PREDEL,19,6.2,18.6,,,43,45,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
PTUJ,23,15.3,22.7,,,62,60,172,172,149,2.24,2.24,5.73,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
RADEGUNDA,19.4,12.2,18.8,,,63,64,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
RATECE,19.3,9.7,18.8,19.3,18.1,54,57,,,,,,,,,,,0,,0,0,,,581,566,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:00 UTC
RATITOVEC,15.7,5.3,15.4,,,50,49,239,239,238,6.45,6.45,8.91,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
RAVNE NA KOROSKEM,18.5,11.9,18.3,18.5,18.1,66,66,237,233,236,2.2,2.3,4.9,,,,,0,,0,0,,,560,556,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:00 UTC
ROGASKA SLATINA,20.8,15.6,20.5,,,72,71,142,142,91,0.74,0.74,1.92,,,,,0,0,,0,,,575,564,112,105,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
ROGLA,16.3,5.3,16.1,,,48,46,209,209,196,2.97,2.97,5.58,,,,,0,0,,0,,,616,628,113,118,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
RUDNO POLJE,19,4.4,19.1,,,38,38,165,165,151,2.4,2.4,5.09,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
SEVNO,19.8,16.3,19.3,,,80,79,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
SLOVENSKE KONJICE,24.3,12.3,24.4,,,47,48,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
TRIJE KRALJI NA POHORJU,18.5,9.8,18.4,,,57,55,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
SVISCAKI,17.7,6.9,17.6,,,49,51,197,197,213,1.8,1.8,3.72,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
SEBRELJSKI VRH,20.1,14.2,19.8,,,69,65,,,,,,,,,,,0,,,0,,,574,570,106,103,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
